"Median earned income per commuter travelling less than 30 minutes"
"(Euro) by Electoral Division and Year"

" ","2016"
"001  Carlow Urban, Co. Carlow",22520.0
"002 Graigue Urban, Co. Carlow",21180.0
"003 Clonmore, Co. Carlow",25389.0
"004 Hacketstown, Co. Carlow",25791.0
"005 Haroldstown, Co. Carlow",28277.0
"006 Kineagh, Co. Carlow",29204.0
"007 Rahill, Co. Carlow",24990.0
"008 Rathvilly, Co. Carlow",23629.0
"009 Tiknock, Co. Carlow",27961.0
"010 Williamstown, Co. Carlow",32699.0
"011 Agha, Co. Carlow",29121.0
"012 Ballinacarrig (Part Urban), Co. Carlow",33986.0
"013 Ballintemple, Co. Carlow",24631.0
"014 Ballon, Co. Carlow",24021.0
"015 Ballyellin, Co. Carlow",28043.0
"016 Ballymoon, Co. Carlow",32394.0
"017 Borris, Co. Carlow",24121.0
"018 Burton Hall, Co. Carlow",38626.0
"019 Carlow Rural (Part Urban), Co Carlow",26005.0
"020 Clogrenan, Co. Carlow",27772.0
"021 Clonegall, Co. Carlow",23803.0
"022 Corries, Co. Carlow",25500.0
"023 Cranemore, Co. Carlow",25582.0
"024 Fennagh, Co. Carlow",28457.0
"025 Garryhill, Co. Carlow",27839.0
"026 Grangeford, Co. Carlow",26843.0
"027 Johnstown, Co. Carlow",34149.0
"028 Kellistown, Co. Carlow",33256.0
"029 Kilbride, Co. Carlow",28369.0
"030 Killedmond, Co. Carlow",27500.0
"031 Killerrig, Co. Carlow",36463.0
"032 Leighlinbridge, Co. Carlow",27578.0
"033 Muinebeag (Bagenalstown) Rural, Co. Carlow",31337.0
"034 Muinebeag (Bagenalstown) Urban, Co. Carlow",23624.0
"035 Myshall, Co. Carlow",27067.0
"036 Nurney, Co. Carlow",29397.0
"037 Oldleighlin, Co. Carlow",28894.0
"038 Rathanna, Co. Carlow",..
"039 Rathornan, Co. Carlow",22774.0
"040 Rathrush, Co. Carlow",28987.0
"041 Ridge, Co. Carlow",24667.0
"042 Shangarry, Co. Carlow",29640.0
"043 Sliguff, Co. Carlow",26940.0
"044 Tankardstown, Co. Carlow",26778.0
"045 Templepeter, Co. Carlow",34267.0
"046 Tullowbeg, Co. Carlow",26855.0
"047 Tullow Rural, Co. Carlow",28522.0
"048 Tullow Urban, Co. Carlow",21222.0
"049 Ballymurphy, Co. Carlow",26832.0
"050 Coonogue, Co. Carlow",21393.0
"051 Glynn, Co. Carlow",27286.0
"052 Kyle, Co. Carlow",27338.0
"053 Marley, Co. Carlow",18636.0
"054 Tinnahinch, Co. Carlow",23621.0
"001 Arran Quay A, Dublin City",29211.0
"002 Arran Quay B, Dublin City",29610.0
"003 Arran Quay C, Dublin City",33137.0
"004 Arran Quay D, Dublin City",34084.0
"005 Arran Quay E, Dublin City",32858.0
"006 Ashtown A, Dublin City",39788.0
"007 Ashtown B, Dublin City",44499.0
"008 Ayrfield, Dublin City",30878.0
"009 Ballybough A, Dublin City",26319.0
"010 Ballybough B, Dublin City",28377.0
"011 Ballygall A, Dublin City",29007.0
"012 Ballygall B, Dublin City",29737.0
"013 Ballygall C, Dublin City",37554.0
"014 Ballygall D, Dublin City",35679.0
"015 Ballymun A, Dublin City",28600.0
"016 Ballymun B, Dublin City",20849.0
"017 Ballymun C, Dublin City",22537.0
"018 Ballymun D, Dublin City",21188.0
"019 Ballymun E, Dublin City",41088.0
"020 Ballymun F, Dublin City",32656.0
"021 Beaumont A, Dublin City",35490.0
"022 Beaumont B, Dublin City",37407.0
"023 Beaumont C, Dublin City",34219.0
"024 Beaumont D, Dublin City",35441.0
"025 Beaumont E, Dublin City",35937.0
"026 Beaumont F, Dublin City",37030.0
"027 Botanic A, Dublin City",42902.0
"028 Botanic B, Dublin City",45799.0
"029 Botanic C, Dublin City",38653.0
"030 Cabra East A, Dublin City",35816.0
"031 Cabra East B, Dublin City",30179.0
"032 Cabra East C, Dublin City",31441.0
"033 Cabra West A, Dublin City",28700.0
"034 Cabra West B, Dublin City",27683.0
"035 Cabra West C, Dublin City",29615.0
"036 Cabra West D, Dublin City",35412.0
"037 Clontarf East A, Dublin City",42543.0
"038 Clontarf East B, Dublin City",45490.0
"039 Clontarf East C, Dublin City",47787.0
"040 Clontarf East D, Dublin City",49425.0
"041 Clontarf East E, Dublin City",45090.0
"042 Clontarf West A, Dublin City",40058.0
"043 Clontarf West B, Dublin City",31388.0
"044 Clontarf West C, Dublin City",47952.0
"045 Clontarf West D, Dublin City",35506.0
"046 Clontarf West E, Dublin City",40002.0
"047 Drumcondra South A, Dublin City",39437.0
"048 Drumcondra South B, Dublin City",40557.0
"049 Drumcondra South C, Dublin City",42154.0
"050 Edenmore, Dublin City",26528.0
"051 Finglas North A, Dublin City",25002.0
"052 Finglas North B, Dublin City",25369.0
"053 Finglas North C, Dublin City",31763.0
"054 Finglas South A, Dublin City",24045.0
"055 Finglas South B, Dublin City",24876.0
"056 Finglas South C, Dublin City",22271.0
"057 Finglas South D, Dublin City",26115.0
"058 Grace Park, Dublin City",41547.0
"059 Grange A, Dublin City",30316.0
"060 Grange B, Dublin City",29454.0
"061 Grange C, Dublin City",26867.0
"062 Grange D, Dublin City",30033.0
"063 Grange E, Dublin City",30054.0
"064 Harmonstown A, Dublin City",30652.0
"065 Harmonstown B, Dublin City",32433.0
"066 Inns Quay A, Dublin City",33317.0
"067 Inns Quay B, Dublin City",27000.0
"068 Inns Quay C, Dublin City",24750.0
"069 Kilmore A, Dublin City",30984.0
"070 Kilmore B, Dublin City",25350.0
"071 Kilmore C, Dublin City",24624.0
"072 Kilmore D, Dublin City",30573.0
"073 Mountjoy A, Dublin City",24501.0
"074 Mountjoy B, Dublin City",20521.0
"075 North City, Dublin City",28987.0
"076 North Dock A, Dublin City",33000.0
"077 North Dock B, Dublin City",36489.0
"078 North Dock C, Dublin City",38481.0
"079 Phoenix Park, Dublin City",41028.0
"080 Priorswood A, Dublin City",28671.0
"081 Priorswood B, Dublin City",21535.0
"082 Priorswood C, Dublin City",23303.0
"083 Priorswood D, Dublin City",23721.0
"084 Priorswood E, Dublin City",28952.0
"085 Raheny-Foxfield, Dublin City",33524.0
"086 Raheny-Greendale, Dublin City",31876.0
"087 Raheny-St. Assam, Dublin City",44908.0
"088 Rotunda A, Dublin City",21400.0
"089 Rotunda B, Dublin City",28049.0
"090 Whitehall A, Dublin City",41059.0
"091 Whitehall B, Dublin City",34457.0
"092 Whitehall C, Dublin City",34043.0
"093 Whitehall D, Dublin City",39285.0
"094 Chapelizod, Dublin City",41083.0
"095 Cherry Orchard A, Dublin City",25027.0
"096 Carna, Dublin City",26032.0
"097 Cherry Orchard C, Dublin City",24851.0
"098 Crumlin A, Dublin City",30195.0
"099 Crumlin B, Dublin City",30765.0
"100 Crumlin C, Dublin City",32797.0
"101 Crumlin D, Dublin City",32073.0
"102 Crumlin E, Dublin City",28998.0
"103 Crumlin F, Dublin City",33625.0
"104 Decies, Dublin City",25576.0
"105 Drumfinn, Dublin City",25524.0
"106 Inchicore A, Dublin City",33674.0
"107 Inchicore B, Dublin City",28248.0
"108 Kilmainham A, Dublin City",28419.0
"109 Kilmainham B, Dublin City",43123.0
"110 Kilmainham C, Dublin City",32968.0
"111 Kimmage A, Dublin City",28800.0
"112 Kimmage B, Dublin City",29815.0
"113 Kimmage C, Dublin City",38623.0
"114 Kimmage D, Dublin City",33235.0
"115 Kimmage E, Dublin City",33812.0
"116 Kylemore, Dublin City",27207.0
"117 Mansion House A, Dublin City",34283.0
"118 Mansion House B, Dublin City",44193.0
"119 Merchants Quay A, Dublin City",28091.0
